,cluster,champ_name,avg_placement,top4_rate,win_rate,champion_count,champion_pick_rate,champ_rank_in_cluster,side,side_rank
0,0,Braum,4.589006405481901,0.47951735438701026,0.1176821093400864,6713,0.7568207440811725,1,Core,1
1,0,Leona,4.66578947368421,0.46957236842105265,0.10805921052631579,6080,0.685456595264938,2,Core,2
2,0,Orianna,4.494322631166797,0.5003915426781519,0.12098668754894283,5108,0.5758737316798196,3,Core,3
3,0,Jhin,4.404096385542169,0.5156626506024097,0.13542168674698796,4150,0.46786922209695603,4,Core,4
4,0,Syndra,4.7196438208310845,0.45709660010793307,0.105774419859687,3706,0.4178128523111612,5,Core,5
5,0,Draven,4.618057533466249,0.48077470806038164,0.11335801765878667,3511,0.3958286358511838,6,Flex,1
6,0,Zeri,4.100145560407569,0.5772925764192139,0.15225618631732168,3435,0.38726042841037206,7,Flex,2
7,0,Blitzcrank,4.649952696310312,0.47366761274046043,0.11321349731945758,3171,0.35749718151071025,8,Flex,3
8,0,Zyra,4.759432441148017,0.44824250241857466,0.0999677523379555,3101,0.3496054114994363,9,Flex,4
9,0,Morgana,4.7313481675392675,0.4505890052356021,0.10111256544502618,3056,0.34453213077790307,10,Flex,5
10,1,Ekko,4.178085580014841,0.5581251545881771,0.15248577788770715,8086,0.788339670468948,1,Core,1
11,1,Seraphine,4.24332106862902,0.546632538793793,0.13885778275475924,6251,0.6094374573462026,2,Core,2
12,1,Irelia,4.233546692926309,0.5503036271130806,0.14574101427868044,6093,0.5940333430827728,3,Core,3
13,1,Gnar,4.329718004338395,0.5343456254519161,0.13286334056399132,5532,0.5393389880081896,4,Core,4
14,1,Jayce,3.5959256771882697,0.6630848444145959,0.21423774345198118,4467,0.4355074583211465,5,Core,5
15,1,Blitzcrank,4.16489988221437,0.56113074204947,0.16277974087161368,4245,0.41386370283708684,6,Flex,1
16,1,Zilean,4.2371083148285225,0.5455218356772761,0.14187021959042684,4053,0.3951447791751974,7,Flex,2
17,1,Ezreal,4.323275862068965,0.5311866125760649,0.13995943204868155,3944,0.3845178902213123,8,Flex,3
18,1,Sivir,4.1372961599158335,0.570489216201999,0.1509731720147291,3802,0.37067368626303987,9,Flex,4
19,1,Braum,4.0624144538735285,0.5825349028196003,0.1713660005474952,3653,0.3561470215462611,10,Flex,5
20,2,Vi,4.343304843304844,0.5315764482431149,0.14506172839506173,4212,0.801980198019802,1,Core,1
21,2,TahmKench,3.8786433492315844,0.6131425543190249,0.20985691573926868,3774,0.7185833968012186,2,Core,2
22,2,Sejuani,4.446187128177393,0.5159545700378583,0.13953488372093023,3698,0.7041127189642041,3,Core,3
23,2,Zac,4.437236457995459,0.5085955238404152,0.15277327278624717,3083,0.587014470677837,4,Core,4
24,2,RekSai,4.4938791124713084,0.5057383320581484,0.14154552410099464,2614,0.4977151561309977,5,Core,5
25,2,Silco,3.557471264367816,0.6744663382594417,0.23645320197044334,2436,0.4638233054074638,6,Flex,1
26,2,Jayce,3.686142709410548,0.6473629782833505,0.22699069286452947,1934,0.36824067022086826,7,Flex,2
27,2,Renata,4.315981259760542,0.5273295158771473,0.16762103071317022,1921,0.3657654226961158,8,Flex,3
28,2,Viktor,3.638959390862944,0.6541878172588832,0.24746192893401014,1576,0.3000761614623001,9,Flex,4
29,2,Sivir,4.105759162303665,0.5842931937172775,0.14031413612565444,955,0.18183549124143183,10,Flex,5
30,3,Sejuani,4.872075806929227,0.43470535978679303,0.07314184187148356,3377,0.3774027715690657,1,Core,1
31,3,Alistar,4.3734007735792915,0.5301993454329069,0.10324308241594764,3361,0.37561466249441217,2,Core,2
32,3,Sivir,4.66460838479038,0.4744881377965551,0.07799805004874878,3077,0.3438757264193116,3,Core,3
33,3,RekSai,4.912066115702479,0.4224793388429752,0.09553719008264462,3025,0.33806437192668753,4,Core,4
34,3,Zac,4.6391923204237004,0.46871896722939427,0.13108242303872888,3021,0.3376173446580241,5,Core,5
35,3,Warwick,4.402451838879159,0.5194395796847636,0.16637478108581435,2855,0.3190657130084935,6,Flex,1
36,3,Tryndamere,4.356986899563319,0.5287481804949054,0.1641193595342067,2748,0.30710773357174787,7,Flex,2
37,3,JarvanIV,4.703676470588236,0.46838235294117647,0.07463235294117647,2720,0.30397854269110414,8,Flex,3
38,3,Vi,4.629977460555973,0.47595792637114953,0.09353869271224644,2662,0.29749664729548503,9,Flex,4
39,3,Quinn,4.4026709834075275,0.5216511533791987,0.1659247268312424,2471,0.27615109521680825,10,Flex,5
40,4,Vex,4.644504504504504,0.46612612612612614,0.10108108108108108,5550,0.8317098756181628,1,Core,1
41,4,Ziggs,4.667326242888944,0.4635171902052931,0.1004204798417017,4043,0.6058744193016634,2,Core,2
42,4,Malzahar,4.588541666666667,0.47708333333333336,0.09739583333333333,3840,0.5754533193466207,3,Core,3
43,4,Ahri,4.510571652310102,0.492038632210911,0.10388932393630906,3831,0.574104600629402,4,Core,4
44,4,Swain,4.628498001142204,0.4714448886350657,0.09394631639063393,3502,0.5248014386332983,5,Core,5
45,4,Morgana,4.8211122918880625,0.4247254693588381,0.09139213602550478,2823,0.4230481043009141,6,Flex,1
46,4,Viktor,3.9537892791127542,0.6022181146025878,0.14417744916820702,2705,0.4053649033418253,7,Flex,2
47,4,Lucian,4.689794271883824,0.45582896329164985,0.10649455425574829,2479,0.3714970777761127,8,Flex,3
48,4,Corki,4.864139693356048,0.42248722316865417,0.10051107325383304,2348,0.3518657275588191,9,Flex,4
49,4,Lulu,4.9099264705882355,0.4085477941176471,0.10294117647058823,2176,0.3260902142964184,10,Flex,5
