,cluster,champ_name,champion_count,champion_pick_rate,champ_rank_in_cluster,side,side_rank
5,0,Braum,6713,0.7568207440811725,1,Core,1
26,0,Leona,6080,0.685456595264938,2,Core,2
33,0,Orianna,5108,0.5758737316798196,3,Core,3
21,0,Jhin,4150,0.46786922209695603,4,Core,4
45,0,Syndra,3706,0.4178128523111612,5,Core,5
11,0,Draven,3511,0.3958286358511838,6,Flex,1
55,0,Zeri,3435,0.38726042841037206,7,Flex,2
3,0,Blitzcrank,3171,0.35749718151071025,8,Flex,3
58,0,Zyra,3101,0.3496054114994363,9,Flex,4
31,0,Morgana,3056,0.34453213077790307,10,Flex,5
71,1,Ekko,8086,0.788339670468948,1,Core,1
99,1,Seraphine,6251,0.6094374573462026,2,Core,2
77,1,Irelia,6093,0.5940333430827728,3,Core,3
75,1,Gnar,5532,0.5393389880081896,4,Core,4
79,1,Jayce,4467,0.4355074583211465,5,Core,5
62,1,Blitzcrank,4245,0.41386370283708684,6,Flex,1
117,1,Zilean,4053,0.3951447791751974,7,Flex,2
72,1,Ezreal,3944,0.3845178902213123,8,Flex,3
102,1,Sivir,3802,0.37067368626303987,9,Flex,4
64,1,Braum,3653,0.3561470215462611,10,Flex,5
170,2,Vi,4212,0.801980198019802,1,Core,1
165,2,TahmKench,3774,0.7185833968012186,2,Core,2
157,2,Sejuani,3698,0.7041127189642041,3,Core,3
173,2,Zac,3083,0.587014470677837,4,Core,4
155,2,RekSai,2614,0.4977151561309977,5,Core,5
160,2,Silco,2436,0.4638233054074638,6,Flex,1
139,2,Jayce,1934,0.36824067022086826,7,Flex,2
156,2,Renata,1921,0.3657654226961158,8,Flex,3
171,2,Viktor,1576,0.3000761614623001,9,Flex,4
162,2,Sivir,955,0.18183549124143183,10,Flex,5
216,3,Sejuani,3377,0.3774027715690657,1,Core,1
179,3,Alistar,3361,0.37561466249441217,2,Core,2
221,3,Sivir,3077,0.3438757264193116,3,Core,3
214,3,RekSai,3025,0.33806437192668753,4,Core,4
232,3,Zac,3021,0.3376173446580241,5,Core,5
231,3,Warwick,2855,0.3190657130084935,6,Flex,1
226,3,Tryndamere,2748,0.30710773357174787,7,Flex,2
197,3,JarvanIV,2720,0.30397854269110414,8,Flex,3
229,3,Vi,2662,0.29749664729548503,9,Flex,4
213,3,Quinn,2471,0.27615109521680825,10,Flex,5
287,4,Vex,5550,0.8317098756181628,1,Core,1
293,4,Ziggs,4043,0.6058744193016634,2,Core,2
266,4,Malzahar,3840,0.5754533193466207,3,Core,3
237,4,Ahri,3831,0.574104600629402,4,Core,4
281,4,Swain,3502,0.5248014386332983,5,Core,5
268,4,Morgana,2823,0.4230481043009141,6,Flex,1
289,4,Viktor,2705,0.4053649033418253,7,Flex,2
264,4,Lucian,2479,0.3714970777761127,8,Flex,3
246,4,Corki,2348,0.3518657275588191,9,Flex,4
265,4,Lulu,2176,0.3260902142964184,10,Flex,5
